symbol,bucket
SWIGGY.NSE,mid
TATACOMM.NSE,mid
TATAELXSI.NSE,mid
TATAINVEST.NSE,mid
NIACL.NSE,mid
THERMAX.NSE,mid
TORNTPOWER.NSE,mid
TIINDIA.NSE,mid
UNOMINDA.NSE,mid
UPL.NSE,mid
UBL.NSE,mid
VMM.NSE,mid
IDEA.NSE,mid
VOLTAS.NSE,mid
WAAREEENER.NSE,mid
YESBANK.NSE,mid
ACMESOLAR.NSE,small
AADHARHFC.NSE,small
AARTIIND.NSE,small
AAVAS.NSE,small
ACE.NSE,small
ACUTAAS.NSE,small
ABFRL.NSE,small
ABLBL.NSE,small
ABREL.NSE,small
ABSLAMC.NSE,small
CPPLUS.NSE,small
AEGISLOG.NSE,small
AEGISVOPAK.NSE,small
AFCONS.NSE,small
AFFLE.NSE,small
ABDL.NSE,small
ARE&M.NSE,small
AMBER.NSE,small
ANANDRATHI.NSE,small
ANANTRAJ.NSE,small
ANGELONE.NSE,small
ANURAS.NSE,small
APTUS.NSE,small
ASAHIINDIA.NSE,small
ASTERDM.NSE,small
ATHERENERG.NSE,small
ATUL.NSE,small
BEML.NSE,small
BLS.NSE,small
BALRAMCHIN.NSE,small
BANDHANBNK.NSE,small
BATAINDIA.NSE,small
BAYERCROP.NSE,small
BELRISE.NSE,small
BIKAJI.NSE,small
BSOFT.NSE,small
BLUEDART.NSE,small
BLUEJET.NSE,small
BBTC.NSE,small
FIRSTCRY.NSE,small
BRIGADE.NSE,small
MAPMYINDIA.NSE,small
CCL.NSE,small
CESC.NSE,small
CIEINDIA.NSE,small
CANFINHOME.NSE,small
CANHLIFE.NSE,small
CAPLIPOINT.NSE,small
CGCL.NSE,small
CARBORUNIV.NSE,small
CARTRADE.NSE,small
CASTROLIND.NSE,small
CEATLTD.NSE,small
CEMPRO.NSE,small
CENTRALBK.NSE,small
CDSL.NSE,small
CHALET.NSE,small
CHAMBLFERT.NSE,small
CHENNPETRO.NSE,small
CHOICEIN.NSE,small
CHOLAHLDNG.NSE,small
CUB.NSE,small
CLEAN.NSE,small
COHANCE.NSE,small
CAMS.NSE,small
CONCORDBIO.NSE,small
CRAFTSMAN.NSE,small
CREDITACC.NSE,small
CROMPTON.NSE,small
CYIENT.NSE,small
DCMSHRIRAM.NSE,small
DOMS.NSE,small
DATAPATTNS.NSE,small
DEEPAKFERT.NSE,small
DEEPAKNTR.NSE,small
DELHIVERY.NSE,small
DEVYANI.NSE,small
LALPATHLAB.NSE,small
EIDPARRY.NSE,small
